performer_id,degree
A_53818,229
A_94234,229
A_114135,229
A_421798,229
A_80926,229
A_119006,229
A_80710,229
A_58906,228
A_67386,228
A_51320,228
A_67565,228
A_21214,228
A_113868,228
A_81933,228
A_46255,228
A_44483,228
A_6157,228
A_71750,228
A_104679,228
A_45259,228
A_85405,228
A_51972,228
A_99980,227
A_55757,227
A_31046,227
A_33577,227
A_42763,227
A_39862,227
A_81711,227
A_48465,227
A_32112,227
A_79101,227
A_61178,227
A_111139,227
A_59154,227
A_1394,227
A_66798,227
A_31467,227
A_113659,227
A_113113,227
A_53849,227
A_113867,227
A_38011,227
A_42443,227
A_47920,227
A_51652,227
A_479529,226
A_69832,226
A_40547,226
A_99813,226
A_479494,226
A_66791,226
A_55699,226
A_68694,226
A_40718,226
A_42892,226
A_15448,226
A_113702,226
A_67088,226
A_60711,226
A_67974,226
A_45882,226
A_450743,226
A_46840,225
A_114105,225
A_42607,225
A_113807,225
A_105723,225
A_51614,225
A_42394,225
A_49104,225
A_47935,225
A_32043,225
A_114079,225
A_440610,225
A_44766,225
A_54837,225
A_114149,225
A_33268,225
A_54575,225
A_39757,225
A_52352,225
A_55770,225
A_113282,225
A_113679,225
A_93935,225
A_114124,225
A_45775,225
A_38446,224
A_36227,224
A_61070,224
A_94244,224
A_23489,224
A_8384,224
A_14401,224
A_68385,224
A_1306,224
A_77576,224
A_101985,224
A_56307,224
A_7963,224
A_44985,224
A_63913,224
A_84523,224
A_381725,224
A_115053,224
A_421056,224
A_39615,224
A_5491,224
A_390843,224
A_58280,224
A_15744,224
A_93474,223
A_94476,223
A_66969,223
A_91350,223
A_7651,223
A_93020,223
A_33550,223
A_50079,223
A_55669,223
A_63879,223
A_77823,222
A_113821,222
A_98072,222
A_99496,222
A_43961,222
A_95132,222
A_114144,222
A_66978,222
A_39740,222
A_69936,222
A_50172,222
A_46819,222
A_98641,222
A_117844,222
A_7969,222
A_41848,222
A_113721,222
A_41205,222
A_64183,221
A_35122,221
A_67013,221
A_52306,221
A_55984,221
A_69032,221
A_42762,221
A_22412,221
A_56613,221
A_65638,221
A_66732,221
A_95673,221
A_99489,221
A_84709,221
A_88803,221
A_48221,221
A_30784,221
A_100290,221
A_41130,221
A_37984,221
A_77049,221
A_29360,221
A_78603,221
A_81192,221
A_419881,221
A_86288,220
A_38605,220
A_114709,220
A_33707,220
A_63302,220
A_34390,220
A_113822,220
A_64028,220
A_98414,220
A_382838,220
A_115934,220
A_100181,220
A_57748,219
A_113657,219
A_39183,219
A_42151,219
A_114354,219
A_397552,219
A_22708,219
A_43944,219
A_52129,219
A_32109,219
A_112502,219
A_66924,219
A_92439,219
A_78098,219
A_77172,219
A_49351,219
A_53530,218
A_64289,218
A_47025,218
A_29764,218
A_33295,218
A_68533,218
A_16524,218
A_60573,218
A_57231,218
A_67720,218
A_421455,218
A_68954,218
A_57955,218
A_98567,218
A_99511,218
A_51300,218
A_51250,218
