source,target,weight,layout_weight
A_520975,A_104463,2,1.0986122886681098
A_520975,A_104458,2,1.0986122886681098
A_520975,A_84550,2,1.0986122886681098
A_98240,A_78432,2,1.0986122886681098
A_98240,A_95380,2,1.0986122886681098
A_98240,A_62353,2,1.0986122886681098
A_98240,A_21937,2,1.0986122886681098
A_98240,A_88812,2,1.0986122886681098
A_29794,A_382838,2,1.0986122886681098
A_29794,A_57627,2,1.0986122886681098
A_29794,A_88902,5,1.791759469228055
A_29794,A_111423,4,1.6094379124341003
A_29794,A_382984,2,1.0986122886681098
A_29794,A_60305,2,1.0986122886681098
A_29794,A_68528,5,1.791759469228055
A_29794,A_103545,7,2.0794415416798357
A_29794,A_32095,3,1.3862943611198906
A_29794,A_49094,2,1.0986122886681098
A_29794,A_378132,2,1.0986122886681098
A_29794,A_378222,3,1.3862943611198906
A_29794,A_35584,3,1.3862943611198906
A_29794,A_49568,2,1.0986122886681098
A_29794,A_96183,2,1.0986122886681098
A_29794,A_103554,4,1.6094379124341003
A_29794,A_103546,4,1.6094379124341003
A_29794,A_97797,2,1.0986122886681098
A_29794,A_103547,5,1.791759469228055
A_29794,A_35179,3,1.3862943611198906
A_29794,A_481253,4,1.6094379124341003
A_29794,A_103588,5,1.791759469228055
A_29794,A_92496,3,1.3862943611198906
A_29794,A_32653,5,1.791759469228055
A_29794,A_103551,8,2.1972245773362196
A_29794,A_103558,5,1.791759469228055
A_29794,A_481254,4,1.6094379124341003
A_29794,A_51740,2,1.0986122886681098
A_29794,A_116429,2,1.0986122886681098
A_29794,A_103548,8,2.1972245773362196
A_29794,A_481292,2,1.0986122886681098
A_29794,A_5829,2,1.0986122886681098
A_29794,A_92287,2,1.0986122886681098
A_29794,A_378216,3,1.3862943611198906
A_29794,A_53589,3,1.3862943611198906
A_29794,A_481261,3,1.3862943611198906
A_29794,A_97784,3,1.3862943611198906
A_29794,A_382836,2,1.0986122886681098
A_29794,A_104107,3,1.3862943611198906
A_29794,A_53067,2,1.0986122886681098
A_29794,A_68634,3,1.3862943611198906
A_29794,A_481264,3,1.3862943611198906
A_29794,A_382991,2,1.0986122886681098
A_29794,A_50125,6,1.9459101490553132
A_29794,A_378220,3,1.3862943611198906
A_29794,A_49109,2,1.0986122886681098
A_29794,A_56250,15,2.772588722239781
A_29794,A_481257,3,1.3862943611198906
A_29794,A_382837,2,1.0986122886681098
A_29794,A_41614,3,1.3862943611198906
A_29794,A_37981,4,1.6094379124341003
A_29794,A_103555,6,1.9459101490553132
A_29794,A_103552,6,1.9459101490553132
A_29794,A_528673,3,1.3862943611198906
A_29794,A_57568,2,1.0986122886681098
A_29794,A_30866,2,1.0986122886681098
A_29794,A_481291,2,1.0986122886681098
A_29794,A_41881,3,1.3862943611198906
A_29794,A_378217,3,1.3862943611198906
A_29794,A_53618,2,1.0986122886681098
A_29794,A_479731,5,1.791759469228055
A_29794,A_115053,2,1.0986122886681098
A_29794,A_38476,2,1.0986122886681098
A_29794,A_115253,2,1.0986122886681098
A_29794,A_378212,2,1.0986122886681098
A_29794,A_68340,3,1.3862943611198906
A_29794,A_55623,3,1.3862943611198906
A_29794,A_68193,3,1.3862943611198906
A_29794,A_449304,4,1.6094379124341003
A_29794,A_45050,2,1.0986122886681098
A_29794,A_39563,2,1.0986122886681098
A_29794,A_37226,2,1.0986122886681098
A_29794,A_48407,3,1.3862943611198906
A_29794,A_378209,2,1.0986122886681098
A_29794,A_96794,2,1.0986122886681098
A_29794,A_502013,2,1.0986122886681098
A_29794,A_95131,7,2.0794415416798357
A_29794,A_68072,2,1.0986122886681098
A_29794,A_48742,2,1.0986122886681098
A_29794,A_41138,2,1.0986122886681098
A_29794,A_103550,2,1.0986122886681098
A_29794,A_103556,6,1.9459101490553132
A_29794,A_378213,2,1.0986122886681098
A_29794,A_103559,5,1.791759469228055
A_29794,A_32253,2,1.0986122886681098
A_29794,A_103553,4,1.6094379124341003
A_29794,A_111162,3,1.3862943611198906
A_29794,A_95879,3,1.3862943611198906
A_29794,A_58117,13,2.6390573296152584
A_29794,A_479722,4,1.6094379124341003
A_29794,A_31134,3,1.3862943611198906
A_29794,A_65665,3,1.3862943611198906
A_29794,A_103549,12,2.5649493574615367
A_29794,A_382988,2,1.0986122886681098
A_29794,A_481259,3,1.3862943611198906
A_29794,A_29373,2,1.0986122886681098
A_29794,A_11371,4,1.6094379124341003
A_29794,A_481293,2,1.0986122886681098
A_29794,A_68517,11,2.4849066497880004
A_29794,A_103557,6,1.9459101490553132
A_29794,A_62767,3,1.3862943611198906
A_29794,A_103586,5,1.791759469228055
A_29794,A_481255,3,1.3862943611198906
A_29794,A_54098,2,1.0986122886681098
A_29794,A_54135,4,1.6094379124341003
A_29794,A_57331,6,1.9459101490553132
A_94541,A_94554,3,1.3862943611198906
A_94541,A_94563,2,1.0986122886681098
A_94541,A_94537,2,1.0986122886681098
A_94541,A_94544,3,1.3862943611198906
A_94541,A_94552,3,1.3862943611198906
A_94541,A_6693,3,1.3862943611198906
A_94541,A_94577,2,1.0986122886681098
A_94541,A_68602,2,1.0986122886681098
A_94541,A_94551,3,1.3862943611198906
A_94541,A_94539,2,1.0986122886681098
A_94541,A_94542,3,1.3862943611198906
A_94541,A_94535,2,1.0986122886681098
A_94541,A_24786,2,1.0986122886681098
A_94541,A_94555,3,1.3862943611198906
A_94541,A_63029,2,1.0986122886681098
A_94541,A_94547,3,1.3862943611198906
A_94541,A_94533,3,1.3862943611198906
A_94541,A_94565,2,1.0986122886681098
A_71287,A_63778,2,1.0986122886681098
A_71287,A_63819,2,1.0986122886681098
A_71287,A_16305,2,1.0986122886681098
A_71287,A_57935,2,1.0986122886681098
A_71287,A_84432,2,1.0986122886681098
A_71287,A_66920,2,1.0986122886681098
A_71287,A_51946,2,1.0986122886681098
A_71287,A_51080,2,1.0986122886681098
A_71287,A_84427,2,1.0986122886681098
A_71287,A_84424,2,1.0986122886681098
A_71287,A_72321,2,1.0986122886681098
A_71287,A_79489,2,1.0986122886681098
A_71287,A_84435,2,1.0986122886681098
A_483084,A_483082,3,1.3862943611198906
A_483084,A_483085,3,1.3862943611198906
A_483084,A_483083,3,1.3862943611198906
A_483084,A_483086,3,1.3862943611198906
A_483084,A_483087,3,1.3862943611198906
A_48484,A_56984,2,1.0986122886681098
A_48484,A_51372,2,1.0986122886681098
A_48484,A_34088,2,1.0986122886681098
A_48484,A_99766,2,1.0986122886681098
A_48484,A_66725,2,1.0986122886681098
A_48484,A_54707,2,1.0986122886681098
A_48484,A_21119,2,1.0986122886681098
A_48484,A_14482,2,1.0986122886681098
A_48484,A_36229,2,1.0986122886681098
