id,x,y,size
A_33837,175.81776428222656,-96.0453109741211,15.631642355602658
A_115744,179.9796905517578,-93.60712432861328,10.576506735789549
A_37642,180.4229431152344,-93.05653381347656,10.576506735789549
A_37721,229.22824096679688,-13.079888343811035,14.18396111075059
A_38674,263.1015625,-82.36753845214844,14.807017727309638
A_40758,289.35577392578125,3.526737689971924,15.20687025353266
A_115742,180.022705078125,-93.0567855834961,10.576506735789549
A_45372,89.57466888427734,-105.7091827392578,15.593913528173827
A_115743,272.072998046875,4.578739643096924,15.376555448732535
A_115740,180.24571228027344,-93.11822509765624,10.576506735789549
A_12052,180.73712158203125,-93.38848876953124,10.576506735789549
A_115746,241.57662963867188,85.32047271728516,15.250288571852892
A_53032,187.32421875,-90.11333465576172,11.724931541104551
A_8060,83.6154556274414,-99.28253936767578,17.27251858997031
A_115741,180.15675354003903,-93.84613800048828,10.576506735789549
A_22132,177.88612365722656,-94.97171020507812,15.477500358638688
A_60876,179.60194396972656,-93.77117919921876,10.576506735789549
A_68879,87.86235809326172,-119.27650451660156,16.968283486021114
A_115745,180.13302612304688,-92.73538208007812,10.576506735789549
A_65198,180.800537109375,-92.9438018798828,11.801987245698275
A_29917,30.58928871154785,-15.059210777282717,16.67753606532565
A_66978,-20.22553443908691,-259.9953308105469,16.7779251900787
A_36847,35.175655364990234,2.4797956943511963,12.53129572751106
A_439315,36.95543670654297,7.951198101043701,10.804580169021772
A_38734,97.4658660888672,-50.96799087524414,13.459948461417989
A_39314,121.1323013305664,111.10636138916016,14.18396111075059
A_439291,36.12577438354492,8.078640937805176,10.804580169021772
A_439300,36.465118408203125,7.8489990234375,10.804580169021772
A_44625,40.51876449584961,16.783357620239258,13.986142649461986
A_46947,79.1882553100586,-170.31658935546875,14.650672511038813
